current_run,Pedido,ordinal_entered,Cantidad Pedida,Distancia,Vehiculo Asignado,Usa Bomba,Inicio Carga,Inicio Viaje,Inicio Descarga,Inicio Vuelta,Llegada a Planta,Inicio Limpieza,Fin Limpieza,
932,11.2,9,7.19198,4.45836,Camion 8_2,0,3.22925,3.46898,3.64731,3.88705,4.06538,4.06538,4.47925,
932,7,11,9.45458,13.6596,Camion 11_2,1,2.72925,3.0444,3.59078,3.90594,4.45232,4.45232,4.72925,
932,10,16,9.53528,6.48096,Camion 11_1,0,3.47925,3.79709,4.05633,4.37417,4.63341,4.63341,4.97925,
932,12.1,14,5.55762,5.65274,Camion 8_3,0,3.82565,4.22925,4.45536,4.64061,4.86672,4.86672,5.22925,
932,12.2,14,5.55762,5.65274,Camion 8_1,0,4.22925,4.4145,4.64061,4.82587,5.05197,5.05197,5.47925,
932,6,15,12.3035,6.15587,Camion 15_1,0,3.97925,4.38936,4.6356,5.04571,5.29195,5.29195,5.72925,
932,15,13,12.7284,9.81021,Camion 15_2,1,2.97925,4.45232,4.84473,5.26901,5.66142,5.66142,5.97925,
932,17,18,10.9767,9.99949,Camion 11_2,0,4.72925,5.09514,5.49512,5.86101,6.26099,6.26099,6.51099,
932,14.1,17,5.7454,13.9269,Camion 8_2,0,4.86672,5.05823,5.61531,5.80682,6.3639,6.3639,6.76099,
932,14.2,17,5.7454,13.9269,Camion 11_1,0,5.05823,5.24975,5.80682,5.99834,6.55541,6.55541,7.01099,
933,16,5,6.0426,7.12715,Camion 8_1,0,0.000555556,0.201976,0.487062,0.688482,0.973567,0.973567,1.22357,
933,4,16,7.00448,5.3397,Camion 8_2,1,0.383582,0.735576,0.949164,1.18265,1.39624,1.39624,1.64624,
933,8,8,8.16591,2.4881,Camion 11_2,0,0.502094,1.00777,1.1073,1.37949,1.47902,1.47902,1.89624,
933,2,4,9.00354,11.0529,Camion 11_1,0,0.000555556,0.502094,0.944211,1.24433,1.68645,1.68645,2.14624,
933,14,1,11.4908,13.9269,Camion 15_1,0,0.000555556,0.383582,0.940657,1.32368,1.88076,1.88076,2.39624,
933,1,2,12.2097,12.3707,Camion 15_2,0,0.201976,0.790573,1.2854,1.69239,2.18722,2.18722,2.64624,
933,15.1,3,6.36422,9.81021,Camion 8_3,0,0.973567,1.39624,1.78864,2.00078,2.39319,2.39319,2.89624,
933,15.2,3,6.36422,9.81021,Camion 8_1,1,1.22357,1.43571,1.82812,2.21293,2.60533,2.60533,3.14624,
933,10,14,9.53528,6.48096,Camion 11_1,0,2.14624,2.46408,2.72332,3.04116,3.3004,3.3004,3.5504,
933,12.1,6,5.55762,5.65274,Camion 8_2,0,2.39319,2.89624,3.12235,3.3076,3.53371,3.53371,3.8004,
933,12.2,6,5.55762,5.65274,Camion 8_3,0,2.89624,3.09471,3.32082,3.50607,3.73218,3.73218,4.0504,
933,6,10,12.3035,6.15587,Camion 15_2,0,2.64624,3.05635,3.30259,3.7127,3.95894,3.95894,4.3004,
933,7,9,9.45458,13.6596,Camion 11_2,1,1.89624,2.60533,3.15172,3.46687,4.01325,4.01325,4.5504,
933,5,7,13.3612,11.4074,Camion 15_1,0,2.39624,2.90945,3.36575,3.81112,4.26742,4.26742,4.8004,
933,18.1,11,6.41533,3.37169,Camion 8_1,0,3.53371,3.8004,3.93526,4.14911,4.28398,4.28398,5.0504,
933,18.2,11,6.41533,3.37169,Camion 8_2,0,3.8004,4.01424,4.14911,4.36295,4.49782,4.49782,5.3004,
933,13,15,9.91048,7.67269,Camion 11_1,0,3.5504,3.88075,4.18765,4.518,4.82491,4.82491,5.5504,
933,9,13,12.4475,2.55486,Camion 15_2,0,4.3004,4.71531,4.81751,5.23243,5.33462,5.33462,5.8004,
933,11.1,12,7.19198,4.45836,Camion 8_3,0,4.28398,5.0504,5.22873,5.46846,5.6468,5.6468,6.0504,
933,11.2,12,7.19198,4.45836,Camion 8_1,0,5.0504,5.29013,5.46846,5.7082,5.88653,5.88653,6.3004,
933,3,17,14.4806,2.82087,Camion 15_1,0,4.8004,5.28308,5.39592,5.87861,5.99144,5.99144,6.5504,
933,17,18,10.9767,9.99949,Camion 11_2,0,4.5504,4.91629,5.31627,5.68216,6.08214,6.08214,6.8004,
934,4,8,7.00448,5.3397,Camion 8_1,1,0.000555556,0.234038,0.447627,0.681109,0.894697,0.894697,1.1447,
934,18,2,12.8307,3.37169,Camion 15_1,0,0.000555556,0.428244,0.563111,0.9908,1.12567,1.12567,1.3947,
934,13,1,9.91048,7.67269,Camion 11_1,0,0.000555556,0.564388,0.871295,1.20164,1.50855,1.50855,1.75855,
